sample	k	unique_kmers	error_kmers	genomic_kmers	main_peak	genome_size_in_peaks	genome_size	haploid_genome_size	fold_coverage	haploid_fold_coverage	ploidy	percent_repeat_in_peaks	percent_repeat
AGRF_11	21	250927525	216867220	34060305	43	44187976	52707520	52707520	43	43	1	23.411	32.952
AGRF_11	23	264518074	230142888	34375186	42	43997160	52833322	52833322	42	42	1	22.443	32.267
AGRF_11	25	276727096	241964303	34762793	41	44234550	52820777	52820777	41	41	1	22.010	31.650
AGRF_11	27	287773321	252731433	35041888	40	44337061	53005608	53005608	40	40	1	21.626	31.111
AGRF_11	29	297762737	262461238	35301499	39	44362847	52920675	52920675	39	39	1	21.126	30.380
AGRF_11	31	306785523	271139720	35645803	38	44838551	53266649	53266649	38	38	1	21.349	29.909
AGRF_11	32	310950452	275188141	35762311	38	43488505	52904137	52904137	38	38	1	18.596	29.214
AGRF_11	34	318628424	282648054	35980370	37	44029939	52835287	52835287	37	37	1	19.085	28.939
7_S40	21	202917055	168571687	34345368	91	39559793	42163536	42163536	91	91	1	13.240	18.343
7_S40	23	212058415	177331851	34726564	89	39892676	42199916	42199916	89	89	1	13.007	17.487
7_S40	25	220171201	185079640	35091561	88	40094450	42156826	42156826	88	88	1	12.529	16.515
7_S40	27	227346694	191909509	35437185	86	40268284	42203531	42203531	86	86	1	12.039	15.761
7_S40	29	233711092	197953223	35757869	85	40395111	42141676	42141676	85	85	1	11.526	14.879
7_S40	31	239388074	203321795	36066279	83	40455625	42188771	42188771	83	83	1	10.883	14.217
7_S40	32	241992499	205781958	36210541	82	40626544	42221671	42221671	82	82	1	10.906	13.920
7_S40	36	250949036	214199517	36749519	79	40701310	42212048	42212048	79	79	1	9.754	12.603
7_S40	34	246768882	210276713	36492169	81	40632899	42167433	42167433	81	81	1	10.232	13.153
DON001	21	167136031	132798399	34337632	73	40486820	42810332	42810332	73	73	1	15.230	19.649
DON001	23	173858970	139132285	34726685	71	40564327	42809726	42809726	71	71	1	14.429	18.734
DON001	25	179815756	144725571	35090185	69	40685679	42807389	42807389	69	69	1	13.786	17.864
DON001	27	185021261	149584011	35437250	67	40847558	42812073	42812073	67	67	1	13.280	17.055
DON001	29	189463632	153698418	35765214	65	41003079	42819932	42819932	65	65	1	12.803	16.283
DON001	36	199604482	162836601	36767881	58	41197522	42893576	42893576	58	58	1	10.775	13.984
DON001	31	193174788	157100031	36074757	63	40975655	42831745	42831745	63	63	1	12.004	15.560
DON001	34	197500376	160997867	36502509	60	41244906	42870552	42870552	60	60	1	11.522	14.595
DON001	32	194773171	158552904	36220267	62	41120235	42852605	42852605	62	62	1	11.941	15.235
