file	total_snps	DP5_filtered_snps	QUAL20_filtered_snps	QUAL30_filtered_snps
All_samples.ArME14_ctg_01.combined.stringent.vcf	3922	3357	682	682
All_samples.ArME14_ctg_02.combined.stringent.vcf	3736	3183	868	868
All_samples.ArME14_ctg_03.combined.stringent.vcf	3771	3381	977	976
All_samples.ArME14_ctg_04.combined.stringent.vcf	3250	2787	885	885
All_samples.ArME14_ctg_05.combined.stringent.vcf	3032	2341	578	577
All_samples.ArME14_ctg_06.combined.stringent.vcf	2469	2065	444	443
All_samples.ArME14_ctg_07.combined.stringent.vcf	2409	2124	499	498
All_samples.ArME14_ctg_08.combined.stringent.vcf	3801	3194	1419	1417
All_samples.ArME14_ctg_09.combined.stringent.vcf	2739	2291	559	559
All_samples.ArME14_ctg_10.combined.stringent.vcf	2734	2057	569	568
All_samples.ArME14_ctg_11.combined.stringent.vcf	2727	2120	823	819
All_samples.ArME14_ctg_12.combined.stringent.vcf	2843	2211	650	650
All_samples.ArME14_ctg_13.combined.stringent.vcf	2683	2032	842	841
All_samples.ArME14_ctg_14.combined.stringent.vcf	2279	1856	349	349
All_samples.ArME14_ctg_15.combined.stringent.vcf	2480	2079	454	454
All_samples.ArME14_ctg_16.combined.stringent.vcf	1610	1238	248	246
All_samples.ArME14_ctg_17.combined.stringent.vcf	1782	1523	325	325
All_samples.ArME14_ctg_18.combined.stringent.vcf	1639	1251	344	344
All_samples.ArME14_ctg_19.combined.stringent.vcf	2603	1718	614	614
All_samples.ArME14_ctg_20.combined.stringent.vcf	1738	1139	320	320
All_samples.ArME14_ctg_21.combined.stringent.vcf	1770	1563	393	391
All_samples.ArME14_ctg_22.combined.stringent.vcf	1166	875	181	181
All_samples.ArME14_mito.combined.stringent.vcf	2	0	0	0
