taxa	Year	Zone_renamed	ICC3996	Genesis90	HatTrick	Seamer
14DON003	2014	SA/Vic2	Low	Low	High	NaN
15CUR001	2015	SA/Vic2	Low	Moderate	High	NaN
15CUR002	2015	SA/Vic2	Moderate	High	High	NaN
15CUR003	2015	SA/Vic2	Low	Low	High	NaN
15DON001	2015	SA/Vic2	Low	Low	Low	NaN
15DON007	2015	SA/Vic2	Moderate	Moderate	High	NaN
16CUR015	2016	SA/Vic2	Low	Moderate	High	Low
16CUR017	2016	SA/Vic2	Moderate	Moderate	High	Low
16CUR018	2016	SA/Vic2	Moderate	High	High	Moderate
16CUR019	2016	SA/Vic2	Moderate	Moderate	High	Low
16RUP012	2016	SA/Vic1	Low	Low	High	Low
16RUP013	2016	SA/Vic1	Low	Low	High	Low
17CUR007	2017	SA/Vic2	Moderate	Moderate	High	Moderate
AR0002	2020	NSW/Qld1	Moderate	Moderate	Moderate	High
AR0003	2020	NSW/Qld1	Moderate	High	High	Moderate
AR0005	2020	NSW/Qld1	High	High	High	High
AR0007	2020	NSW/Qld1	Moderate	Moderate	High	Moderate
AR0009	2020	NSW/Qld1	High	High	High	High
AR0013	2020	NSW/Qld1	High	High	High	High
AR0015	2020	NSW/Qld1	High	High	High	High
AR0016	2020	NSW/Qld1	High	High	High	High
AR0018	2020	NSW/Qld1	High	High	High	High
AR0020	2020	NSW/Qld1	High	High	High	High
AR0021	2020	NSW/Qld1	Moderate	Moderate	High	High
AR0022	2020	NSW/Qld1	Moderate	High	Moderate	High
AR0023	2020	NSW/Qld1	High	High	High	High
AR0024	2020	NSW/Qld1	Moderate	High	High	High
AR0025	2020	NSW/Qld1	Moderate	High	High	High
AR0026	2020	NSW/Qld1	Low	Moderate	Moderate	Low
AR0027	2020	NSW/Qld1	High	High	High	High
AR0028	2020	NSW/Qld1	Low	Moderate	Low	Moderate
AR0029	2020	NSW/Qld1	Low	Low	Low	Moderate
AR0031	2020	NaN	Low	High	Moderate	Moderate
AR0032	2020	NSW/Vic	Low	High	Moderate	Moderate
AR0033	2020	NSW/Vic	High	High	High	High
AR0034	2020	NSW/Vic	Low	High	High	Moderate
AR0035	2020	NSW/Vic	Moderate	Low	Moderate	Low
AR0036	2020	NSW/Vic	Moderate	Low	Moderate	Low
AR0037	2020	NSW/Vic	Low	Low	Low	Moderate
AR0038	2020	NSW/Vic	Low	Moderate	Moderate	Low
AR0039	2020	NSW/Vic	Low	Low	Low	Moderate
AR0040	2020	NSW/Vic	Low	Moderate	Moderate	Low
AR0042	2020	NSW/Vic	Moderate	High	Low	Moderate
AR0044	2020	NSW/Vic	Moderate	Moderate	High	Moderate
AR0048	2020	NSW/Vic	Low	High	Low	Moderate
AR0050	2020	NSW/Vic	Low	High	High	Moderate
AR0052	2020	NSW/Vic	Low	Moderate	High	Moderate
AR0055	2020	NSW/Vic	Moderate	High	High	High
AR0056	2020	NSW/Vic	Low	High	High	High
AR0060	2020	NSW/Vic	Low	Low	Low	Low
AR0062	2020	NSW/Vic	Moderate	Low	Moderate	High
AR0063	2020	NSW/Vic	Low	Low	Low	High
AR0064	2020	WA2	High	High	High	Moderate
AR0065	2020	WA2	High	High	High	Moderate
AR0066	2020	WA2	High	High	High	High
AR0067	2020	WA2	Moderate	Moderate	High	High
AR0068	2020	WA2	Moderate	High	High	Moderate
AR0069	2020	WA2	Moderate	High	High	High
AR0070	2020	WA2	Moderate	High	High	High
AR0071	2020	WA2	Moderate	High	High	High
AR0072	2020	WA2	Moderate	High	Moderate	High
AR0073	2020	WA2	Low	Moderate	Low	Low
AR0074	2020	WA2	Low	High	High	High
AR0075	2020	WA2	Moderate	High	High	High
AR0076	2020	WA2	Low	High	High	High
AR0078	2020	WA2	Low	High	High	High
AR0080	2020	WA2	High	High	High	High
AR0081	2020	WA2	Moderate	High	High	High
AR0083	2020	WA2	Moderate	High	High	High
AR0087	2020	WA2	Low	High	High	High
AR0088	2020	NSW/Vic	Moderate	Moderate	High	High
AR0091	2020	NSW/Vic	Low	Low	High	High
AR0093	2020	NSW/Vic	Low	Moderate	Moderate	High
AR0098	2020	NSW/Vic	Low	Low	Low	Moderate
AR0103	2020	NSW/Vic	Low	Low	Moderate	High
AR0105	2020	NSW/Qld1	Low	Low	Moderate	High
AR0108	2020	NSW/Qld1	Moderate	Low	High	High
AR0112	2020	Qld	Low	Low	Low	Low
AR0114	2020	Qld	Low	Low	Low	Low
AR0115	2020	Qld	Low	Low	Low	Low
AR0116	2020	Qld	Low	Low	Low	Low
AR0117	2020	NSW/Qld1	Low	Low	Low	Low
AR0119	2020	NSW/Qld1	Low	Low	Low	Low
AR0122	2020	NSW/Qld1	High	Low	High	High
AR0123	2020	NSW/Qld1	Low	Moderate	High	High
