Sample Name,Paired End,Data Yield(bp),Isolate
AR0002,"10,235,328",3.09 Gb,AR0002
AR0003,"12,279,694",3.71 Gb,AR0003
AR0005,"11,374,780",3.44 Gb,AR0005
AR0007,"13,152,358",3.97 Gb,AR0007
AR0009,"8,908,713",2.69 Gb,AR0009
AR0013,"13,950,440",4.21 Gb,AR0013
AR0015,"13,424,551",4.05 Gb,AR0015
AR0016,"11,834,322",3.57 Gb,AR0016
AR0018,"10,866,441",3.28 Gb,AR0018
AR0020,"12,071,443",3.65 Gb,AR0020
AR0021,"13,977,282",4.22 Gb,AR0021
AR0022,"10,584,254",3.20 Gb,AR0022
AR0023,"10,776,340",3.25 Gb,AR0023
AR0024,"12,696,902",3.83 Gb,AR0024
AR0025,"9,770,315",2.95 Gb,AR0025
AR0026,"14,661,762",4.43 Gb,AR0026
AR0027,"12,362,851",3.73 Gb,AR0027
AR0028,"12,503,194",3.78 Gb,AR0028
AR0029,"9,770,612",2.95 Gb,AR0029
AR0031,"13,300,154",4.02 Gb,AR0031
AR0032,"12,251,804",3.70 Gb,AR0032
AR0033,"12,038,946",3.64 Gb,AR0033
AR0034,"12,507,632",3.78 Gb,AR0034
AR0035,"10,889,873",3.29 Gb,AR0035
AR0036,"13,476,686",4.07 Gb,AR0036
AR0037,"10,741,146",3.24 Gb,AR0037
AR0038,"9,087,538",2.74 Gb,AR0038
AR0039,"10,571,479",3.19 Gb,AR0039
AR0039_R,"16,442,688",4.97 Gb,AR0039
AR0040,"13,279,221",4.01 Gb,AR0040
AR0042,"9,406,112",2.84 Gb,AR0042
AR0044,"10,537,696",3.18 Gb,AR0044
AR0048,"14,030,075",4.24 Gb,AR0048
AR0050,"10,534,738",3.18 Gb,AR0050
AR0052,"10,971,675",3.31 Gb,AR0052
AR0052_R,"20,190,588",6.10 Gb,AR0052
AR0055,"10,852,434",3.28 Gb,AR0055
AR0056,"11,269,295",3.40 Gb,AR0056
AR0060,"58,225,234",17.58 Gb,AR0060
AR0062,"12,016,419",3.63 Gb,AR0062
AR0063,"9,028,295",2.73 Gb,AR0063
AR0064,"13,491,558",4.07 Gb,AR0064
AR0065,"11,276,211",3.41 Gb,AR0065
AR0066,"10,006,160",3.02 Gb,AR0066
AR0067,"10,283,130",3.11 Gb,AR0067
AR0068,"13,562,866",4.10 Gb,AR0068
